gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,shared
Smp_336180,94.5817837598002,-2.0183219491334947,0.47485861151565334,-4.250364003490252,2.134233890754289e-5,0.004192468233203669,FALSE
Smp_336610,143.92965540554118,-1.184442996520491,0.3363138122454478,-3.521838691703995,4.2856483114162946e-4,0.028526125206732925,TRUE
Smp_337390,13.12760056228036,1.3973888854616179,0.414485195878057,3.371384308434347,7.479144460845122e-4,0.044905488674778025,FALSE
Smp_341080,2035.232823119601,1.1148571949979642,0.2477642612625658,4.499669118204683,6.8059315858320185e-6,0.002108268192011195,TRUE
Smp_342900,24.98369852490022,1.998847971675595,0.39680677026919275,5.037333335617185,4.720622835568925e-7,3.456354210697465e-4,FALSE
Smp_343650,55.25958236118567,-1.1680336382030108,0.26812257256731764,-4.3563420528861,1.3225404823839074e-5,0.0032278003167030274,FALSE
Smp_343780,17.107489834221955,-1.589198708125003,0.4209136883441933,-3.7755928403674752,1.5962755461454962e-4,0.016584023998520436,FALSE
Smp_344300,90.92415840852505,-2.0167828814520603,0.47366733806867284,-4.2578044111617945,2.06444443255658e-5,0.004156758864952674,FALSE
Smp_344610,430.0535042102492,-1.5916599532652322,0.2407725295264657,-6.610637668655955,3.826680577138596e-11,3.0820085368274253e-7,FALSE
Smp_346020,335.37150805372136,-2.105059734636273,0.45680184049945255,-4.60825580810854,4.060608973273576e-6,0.0014865520304884264,FALSE
Smp_346610,174.22068551124732,-1.1640242220364314,0.2207668491463218,-5.2726404645333735,1.3447484276116257e-7,1.8825213555434802e-4,TRUE
Smp_348000,85.65046972375242,-1.9406085200272534,0.46296477584768564,-4.191697989277934,2.7687441243633832e-5,0.004955436706138376,FALSE
Smp_348030,117.49446346312706,-1.9565256731802045,0.4651955379615613,-4.205813498885861,2.6014469980209357e-5,0.004761830482286503,FALSE
Smp_348540,22.851477100459633,1.445140353759039,0.3914139741262999,3.6921020946807763,2.2240814331688137e-4,0.019903057625268474,FALSE
Smp_350450,34.34253956088109,1.1936498999378513,0.31302156519915586,3.8133152237559327,1.371150468925294e-4,0.015067124837786366,FALSE
Smp_900000,4381.889592452247,-1.338555459560482,0.35008967810855574,-3.8234645099859903,1.3158953991247938e-4,0.01492707259795928,TRUE
Smp_900070,1201.1488156895737,-1.3651921863021508,0.36224144644883144,-3.768735465490119,1.6407666136418947e-4,0.016584023998520436,TRUE
Smp_900110,1732.0844312761535,-1.304993106870173,0.38397555680462525,-3.3986358864352937,6.77228112068827e-4,0.041321175868199486,TRUE
