gene_id,Int-01_S42_L005,Int-02_S43_L005,Int-03_S44_L005,Int-04_S45_L005,Liv-01_S38_L005,Liv-02_S39_L005,Liv-03_S40_L005,Liv-04_S41_L005
Smp_043100,682.9924199722201,568.2769208328953,580.4247365588129,511.9551484495985,626.155114679426,633.7589285132191,561.4036074346965,605.9772773949907
Smp_043110,18.027703392931905,17.48544371793524,36.914699077488784,51.38583274401174,35.400995882935746,56.00226172429034,67.17650003492095,40.66514182738661
Smp_043120,658.2687124619135,734.38863615328,712.3751502826026,632.3312195999223,738.9957890562838,1143.3795102042611,698.1557682200713,628.643094151239
Smp_043130,103.01544795961088,87.42721858967619,108.38783984454153,93.25577053542872,113.94695549819944,209.07511043735062,124.75635720771034,109.32923376543286
Smp_043150,393.0039339659155,440.0503335680368,488.53069842974514,477.2221318726276,519.9521270306188,561.8893593003797,472.63466095997956,507.31431033838055
Smp_043170,97.86467556163034,113.65538416657905,130.37957546517313,174.14087763248423,111.73439325551595,85.87013464391185,105.5630714834472,131.99505052168115
Smp_043200,124.64869203112916,148.62627160244952,117.81286939624079,94.68315477831793,147.1353891384517,117.60474962100972,127.15551792324322,144.66124223840814
Smp_043210,140.10100922507078,166.11171532038477,140.59002414618067,164.14918793225974,78.5459596152637,173.60701134530007,122.35719649217745,113.32908378124138
Smp_043220,47.90218330121906,49.54209053414984,79.32733206013546,67.0870594157931,68.58942952318802,112.93789447731886,100.76475005238143,84.66349200128033
Smp_043350,16.48247167353774,34.97088743587048,18.064639974090255,23.31394263385718,24.338184669518327,31.734614977097863,28.789928586394694,19.999250079042596
Smp_043360,7.726158596970816,8.74272185896762,14.922963456857167,9.991689700224505,19.91306018415136,14.000565431072586,19.193285724263127,15.332758393932657
Smp_043390,7.726158596970816,2.9142406196558732,1.570838258616544,5.709536971556861,3.3188433640252266,2.800113086214517,4.798321431065782,4.666491685109939
Smp_043500,93.7440576432459,134.05506850417015,108.38783984454153,113.23914993587773,118.37207998356641,144.6725094544167,129.55467863877612,111.32915877333713
Smp_043570,6.180926877576653,14.571203098279366,10.210448681007534,3.3305632334081685,2.212562242683484,7.466968229905379,2.399160715532891,6.666416693014199
Smp_043580,48.417260541017114,55.37057177346159,43.19805211195496,52.813216986900954,71.90827288721324,85.87013464391185,57.57985717278939,83.9968503319789
Smp_043600,373.4309988535894,836.3870578412356,366.790733386963,269.77562190606164,200.23688296285533,436.8176414494647,208.72698225136153,400.65164325015337
Smp_043610,94.25913488304396,43.71360929483809,105.24616332730844,90.40100204965029,123.90348559027512,98.93732904624628,112.76055363004588,103.9961004110215
Smp_043650,45.84187434202684,116.56962478623493,126.45247981863179,122.27925014084276,51.99521270306188,134.40542813829683,74.37398218151962,57.99782522922353
Smp_043670,128.25423270971555,209.82532461522285,219.91735620631613,269.77562190606164,129.43489119698384,209.07511043735062,134.3530000698419,159.99400063234077
Smp_043780,531.5597114715921,399.2509648928546,324.3781004043163,333.05632334081685,276.57028033543554,176.40712443151457,309.49173230374294,365.3196347771781
Smp_043910,3.0904634387883263,2.9142406196558732,0.785419129308272,1.9031789905189533,1.106281121341742,3.7334841149526894,2.399160715532891,4.666491685109939
Smp_043940,50.477569500209334,40.79936867518222,47.12514775849632,60.42593294897677,51.99521270306188,70.9361981841011,47.98321431065782,73.99722529245761
Smp_043970,103.01544795961088,69.94177487174096,70.68772163774447,77.07874911601762,85.18364634331414,49.46866452312314,74.37398218151962,100.66289206451441
